epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,394.257,0.73423,0.53106,1.13256,0.96516,0.93418,0.96747,0.80348,0.68928,0.36493,1.11522,0.005644,0.005644,0.005644
46,778.739,0.74346,0.54115,1.14119,0.97107,0.92813,0.96839,0.80581,0.68409,0.36144,1.11259,0.005545,0.005545,0.005545
47,1168.29,0.73375,0.54196,1.13642,0.96367,0.93781,0.96922,0.80702,0.68404,0.36081,1.11361,0.005446,0.005446,0.005446
48,1550.7,0.74038,0.53522,1.1392,0.96565,0.93779,0.96927,0.80468,0.68696,0.36098,1.11439,0.005347,0.005347,0.005347
49,1929.58,0.73035,0.53117,1.13391,0.96023,0.93725,0.96774,0.80508,0.68272,0.36036,1.11266,0.005248,0.005248,0.005248
50,2308.8,0.72596,0.52515,1.13161,0.96921,0.93299,0.96921,0.80701,0.68068,0.3595,1.11153,0.005149,0.005149,0.005149
51,2691,0.72988,0.52938,1.13537,0.97237,0.9335,0.96858,0.80617,0.67912,0.35581,1.11006,0.00505,0.00505,0.00505
52,3070.74,0.7271,0.52391,1.13182,0.97192,0.93322,0.96804,0.80817,0.67907,0.35457,1.10871,0.004951,0.004951,0.004951
53,3455.46,0.72266,0.52599,1.12776,0.96953,0.93443,0.96667,0.80689,0.676,0.35458,1.10699,0.004852,0.004852,0.004852
54,3840.15,0.7172,0.5203,1.12777,0.96941,0.93526,0.96636,0.80687,0.67585,0.35369,1.10811,0.004753,0.004753,0.004753
55,4221.47,0.7145,0.51537,1.1252,0.97143,0.93293,0.96693,0.80706,0.67555,0.35457,1.10849,0.004654,0.004654,0.004654
45,417.029,0.73423,0.53106,1.13256,0.96516,0.93418,0.96747,0.80348,0.68928,0.36493,1.11522,0.005644,0.005644,0.005644
46,817.811,0.74346,0.54115,1.14119,0.97107,0.92813,0.96839,0.80581,0.68409,0.36144,1.11259,0.005545,0.005545,0.005545
47,1219.75,0.73375,0.54196,1.13642,0.96367,0.93781,0.96922,0.80702,0.68404,0.36081,1.11361,0.005446,0.005446,0.005446
48,1621.35,0.74038,0.53522,1.1392,0.96565,0.93779,0.96927,0.80468,0.68696,0.36098,1.11439,0.005347,0.005347,0.005347
49,2017.39,0.73035,0.53117,1.13391,0.96023,0.93725,0.96774,0.80508,0.68272,0.36036,1.11266,0.005248,0.005248,0.005248
50,2411.34,0.72596,0.52515,1.13161,0.96921,0.93299,0.96921,0.80701,0.68068,0.3595,1.11153,0.005149,0.005149,0.005149
51,2805.93,0.72988,0.52938,1.13537,0.97237,0.9335,0.96858,0.80617,0.67912,0.35581,1.11006,0.00505,0.00505,0.00505
52,3201.94,0.7271,0.52391,1.13182,0.97192,0.93322,0.96804,0.80817,0.67907,0.35457,1.10871,0.004951,0.004951,0.004951
53,3595.78,0.72266,0.52599,1.12776,0.96953,0.93443,0.96667,0.80689,0.676,0.35458,1.10699,0.004852,0.004852,0.004852
54,3988.12,0.7172,0.5203,1.12777,0.96941,0.93526,0.96636,0.80687,0.67585,0.35369,1.10811,0.004753,0.004753,0.004753
55,4380.8,0.7145,0.51537,1.1252,0.97143,0.93293,0.96693,0.80706,0.67555,0.35457,1.10849,0.004654,0.004654,0.004654
56,4772.39,0.71953,0.5149,1.1251,0.96544,0.93738,0.96686,0.80672,0.67568,0.35471,1.10988,0.004555,0.004555,0.004555
57,5163.58,0.70807,0.5057,1.12017,0.96691,0.93831,0.96725,0.80657,0.67551,0.35491,1.11047,0.004456,0.004456,0.004456
58,5554.3,0.70467,0.49956,1.11772,0.97286,0.93315,0.96725,0.80713,0.67456,0.35325,1.10936,0.004357,0.004357,0.004357
59,5943.81,0.7034,0.50112,1.11502,0.97325,0.93259,0.96723,0.80779,0.67474,0.35308,1.10928,0.004258,0.004258,0.004258
60,6334.1,0.70121,0.5018,1.11623,0.97426,0.93003,0.9673,0.80792,0.67527,0.35295,1.1097,0.004159,0.004159,0.004159
61,6722.94,0.69523,0.49851,1.11297,0.97272,0.93204,0.96748,0.80906,0.67377,0.35197,1.10882,0.00406,0.00406,0.00406
62,7113.77,0.68785,0.48724,1.10944,0.96746,0.93753,0.9674,0.80952,0.6728,0.35051,1.10859,0.003961,0.003961,0.003961
63,7504.05,0.68879,0.48659,1.10957,0.96942,0.93736,0.96772,0.80927,0.67145,0.34982,1.10808,0.003862,0.003862,0.003862
64,7893.49,0.68766,0.4868,1.10873,0.97194,0.93511,0.96805,0.80867,0.6711,0.34835,1.108,0.003763,0.003763,0.003763
65,8284.04,0.68491,0.48036,1.1045,0.9723,0.93513,0.96794,0.80911,0.67123,0.34752,1.10837,0.003664,0.003664,0.003664
66,8675.39,0.68132,0.48008,1.10567,0.97531,0.93437,0.96784,0.80901,0.67082,0.34757,1.108,0.003565,0.003565,0.003565
67,9066.72,0.6807,0.48063,1.1043,0.97436,0.93455,0.96788,0.80934,0.6705,0.34629,1.10802,0.003466,0.003466,0.003466
68,9457.2,0.67923,0.47624,1.10517,0.9742,0.93441,0.96775,0.80946,0.66922,0.34477,1.10761,0.003367,0.003367,0.003367
69,9848.58,0.67098,0.46808,1.10141,0.97291,0.93439,0.96769,0.81043,0.6681,0.34494,1.10698,0.003268,0.003268,0.003268
70,10240,0.67136,0.46799,1.10184,0.97354,0.93424,0.96782,0.8107,0.66698,0.34474,1.10621,0.003169,0.003169,0.003169
71,10633.2,0.66298,0.46277,1.09563,0.97249,0.93402,0.96798,0.811,0.66624,0.34461,1.10591,0.00307,0.00307,0.00307
72,11028.3,0.66241,0.45977,1.09354,0.97353,0.93317,0.96777,0.81074,0.66597,0.34489,1.10568,0.002971,0.002971,0.002971
73,11423.2,0.66278,0.46198,1.09601,0.97298,0.93396,0.9677,0.81083,0.666,0.34564,1.10591,0.002872,0.002872,0.002872
74,11815.9,0.65376,0.45847,1.09093,0.97317,0.93432,0.96802,0.81041,0.66617,0.34533,1.10636,0.002773,0.002773,0.002773
75,12218.8,0.65322,0.45498,1.09077,0.97315,0.93393,0.96825,0.81122,0.66613,0.34521,1.10631,0.002674,0.002674,0.002674
76,12621.6,0.64991,0.44869,1.08875,0.97134,0.93649,0.96833,0.81099,0.66561,0.34442,1.1062,0.002575,0.002575,0.002575
