epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.744,1.24142,2.22333,1.32541,0.71792,0.68177,0.72742,0.51138,1.00817,1.61197,1.16254,0.00333048,0.00333048,0.00333048
2,746.665,1.19927,1.55071,1.28032,0.7226,0.63734,0.68521,0.48839,1.00035,1.63425,1.1464,0.00653187,0.00653187,0.00653187
3,1108.8,1.27025,1.59601,1.32412,0.70882,0.69069,0.72447,0.48071,1.1343,1.68378,1.19777,0.00960126,0.00960126,0.00960126
4,1472.2,1.29725,1.57447,1.33873,0.75796,0.68857,0.76008,0.52778,1.0735,1.60342,1.18175,0.009406,0.009406,0.009406
5,1832.45,1.24712,1.44686,1.32013,0.72917,0.66077,0.7276,0.50605,1.07785,1.64591,1.1637,0.009208,0.009208,0.009208
6,2191.91,1.20426,1.33567,1.29719,0.79224,0.73413,0.79654,0.56749,1.03404,1.43611,1.15922,0.00901,0.00901,0.00901
7,2552.38,1.16762,1.2527,1.27918,0.82039,0.79191,0.83126,0.61071,0.92851,1.1704,1.0932,0.008812,0.008812,0.008812
8,2911.96,1.14671,1.2004,1.26654,0.80725,0.76056,0.80943,0.60459,0.92507,1.34992,1.08388,0.008614,0.008614,0.008614
9,3271.03,1.12046,1.15438,1.2518,0.81433,0.7925,0.82364,0.60751,0.91594,1.15263,1.08329,0.008416,0.008416,0.008416
10,3631.95,1.10311,1.11286,1.24269,0.83512,0.80654,0.83758,0.62676,0.90773,1.31761,1.07465,0.008218,0.008218,0.008218
11,3993.04,1.08994,1.081,1.23869,0.85802,0.83002,0.88418,0.6677,0.87408,1.05006,1.06047,0.00802,0.00802,0.00802
12,4353.19,1.07775,1.05122,1.23283,0.84571,0.81184,0.86095,0.65609,0.85743,1.0463,1.0408,0.007822,0.007822,0.007822
13,4714.39,1.06449,1.01828,1.22451,0.85872,0.85224,0.88265,0.67104,0.86524,1.22839,1.05508,0.007624,0.007624,0.007624
14,5074.2,1.06126,1.00173,1.22342,0.85455,0.84406,0.88028,0.67683,0.83649,1.17589,1.04995,0.007426,0.007426,0.007426
15,5433.54,1.04428,0.98428,1.21337,0.88392,0.83352,0.88224,0.67759,0.84148,1.25431,1.04221,0.007228,0.007228,0.007228
16,5792.9,1.03577,0.97162,1.20669,0.8775,0.83354,0.87926,0.6783,0.83451,1.1365,1.03622,0.00703,0.00703,0.00703
17,6151.56,1.02309,0.9378,1.20083,0.88198,0.84735,0.89505,0.69288,0.82086,1.14208,1.02078,0.006832,0.006832,0.006832
