epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.45,1.06708,2.22612,1.39551,0.67361,0.64486,0.70035,0.45326,1.17595,1.63838,1.55885,0.00332837,0.00332837,0.00332837
2,1046,1.03898,1.44555,1.3519,0.47456,0.57571,0.48187,0.31003,1.23552,2.44429,1.6308,0.00661774,0.00661774,0.00661774
3,1558.95,1.10984,1.35236,1.4009,0.62525,0.52227,0.56082,0.36839,1.31984,1.67728,1.71738,0.00986311,0.00986311,0.00986311
4,2069.24,1.15759,1.34302,1.43622,0.72347,0.60632,0.70457,0.45325,1.23428,1.4309,1.62255,0.009802,0.009802,0.009802
5,2574.69,1.09604,1.1793,1.3885,0.79747,0.72535,0.78602,0.53723,1.1229,1.08802,1.52416,0.009736,0.009736,0.009736
6,3079.9,1.05406,1.09127,1.36062,0.81777,0.74641,0.81024,0.57283,1.06978,1.01425,1.44662,0.00967,0.00967,0.00967
7,517.09,1.01976,1.02234,1.33512,0.83241,0.76962,0.82896,0.59831,0.9798,0.93003,1.39467,0.009604,0.009604,0.009604
8,1029.57,0.98959,0.96648,1.31558,0.80753,0.78222,0.82976,0.59309,1.01118,1.01781,1.43592,0.009538,0.009538,0.009538
9,1550.91,0.96663,0.92865,1.30193,0.8028,0.79816,0.80773,0.59978,0.9546,0.95168,1.39059,0.009472,0.009472,0.009472
10,2074.55,0.94687,0.89598,1.28641,0.84259,0.82559,0.86625,0.63405,0.93861,0.87074,1.3738,0.009406,0.009406,0.009406
11,2596.05,0.92827,0.85309,1.27093,0.84259,0.8241,0.85227,0.63054,0.9391,0.84472,1.36246,0.00934,0.00934,0.00934
12,541.519,0.91489,0.82969,1.26541,0.84107,0.80283,0.85485,0.63811,0.90597,0.83491,1.34367,0.009274,0.009274,0.009274
13,1067.21,0.90257,0.81506,1.2564,0.85617,0.83042,0.87915,0.66311,0.89999,0.78002,1.34556,0.009208,0.009208,0.009208
14,1590.03,0.88875,0.79034,1.24944,0.84198,0.85933,0.87672,0.66473,0.88893,0.78864,1.34204,0.009142,0.009142,0.009142
15,2111.32,0.87828,0.77932,1.24006,0.85737,0.86472,0.88596,0.67075,0.88703,0.75783,1.3391,0.009076,0.009076,0.009076
16,2630.31,0.86658,0.75118,1.23028,0.86382,0.87363,0.8806,0.67375,0.87793,0.74631,1.31752,0.00901,0.00901,0.00901
17,3148.17,0.87477,0.76578,1.23885,0.88132,0.85024,0.88563,0.68174,0.86132,0.73797,1.31172,0.008944,0.008944,0.008944
18,3668.99,0.87441,0.75723,1.23999,0.88128,0.86049,0.89384,0.68635,0.85582,0.70266,1.29974,0.008878,0.008878,0.008878
19,4188.77,0.86642,0.74878,1.233,0.8494,0.88579,0.89215,0.68457,0.87701,0.73425,1.3092,0.008812,0.008812,0.008812
20,4708.47,0.85529,0.73927,1.2267,0.88495,0.87067,0.8965,0.69545,0.83961,0.72281,1.28089,0.008746,0.008746,0.008746
21,5224.79,0.85465,0.73357,1.22545,0.89845,0.87832,0.90044,0.69677,0.8442,0.6979,1.29801,0.00868,0.00868,0.00868
22,5742.91,0.84597,0.71629,1.22043,0.88339,0.87797,0.89691,0.69252,0.84679,0.70794,1.29515,0.008614,0.008614,0.008614
23,6263.57,0.84085,0.71814,1.21789,0.88166,0.88992,0.89488,0.69928,0.8197,0.69369,1.27966,0.008548,0.008548,0.008548
24,6786.78,0.84165,0.71596,1.22002,0.89032,0.87577,0.89469,0.69913,0.83218,0.69648,1.28482,0.008482,0.008482,0.008482
25,527.559,0.81652,0.67484,1.2001,0.88943,0.88095,0.89906,0.70481,0.8247,0.69844,1.28189,0.008416,0.008416,0.008416
26,1051.78,0.81508,0.67594,1.20015,0.90063,0.89146,0.89695,0.702,0.83548,0.69497,1.28528,0.00835,0.00835,0.00835
27,1575.96,0.81358,0.67158,1.20139,0.88853,0.90007,0.8978,0.70387,0.82803,0.70716,1.28407,0.008284,0.008284,0.008284
28,2096.28,0.80609,0.66572,1.19504,0.8875,0.89741,0.90826,0.71015,0.81756,0.6903,1.27906,0.008218,0.008218,0.008218
29,2614.62,0.79894,0.65481,1.18802,0.88948,0.88619,0.89962,0.70735,0.82354,0.69013,1.27999,0.008152,0.008152,0.008152
30,3133.29,0.80104,0.65561,1.19063,0.88056,0.91104,0.90082,0.70812,0.82715,0.70178,1.28849,0.008086,0.008086,0.008086
31,3656.29,0.80178,0.65066,1.19255,0.89356,0.88732,0.89792,0.7109,0.81759,0.70064,1.27946,0.00802,0.00802,0.00802
32,4178.05,0.80046,0.64566,1.19007,0.88846,0.90295,0.89659,0.71247,0.81776,0.6973,1.28338,0.007954,0.007954,0.007954
33,4698.19,0.79177,0.64177,1.18427,0.89152,0.90591,0.90106,0.7101,0.81666,0.70246,1.28396,0.007888,0.007888,0.007888
34,5218.89,0.79222,0.63796,1.18579,0.8922,0.90839,0.90313,0.71157,0.81486,0.69733,1.27825,0.007822,0.007822,0.007822
35,5738.46,0.78786,0.63225,1.18407,0.90314,0.89633,0.90456,0.71519,0.81015,0.67778,1.27005,0.007756,0.007756,0.007756
36,6256.25,0.78426,0.62925,1.18112,0.90547,0.89346,0.90564,0.71421,0.81615,0.6766,1.27614,0.00769,0.00769,0.00769
37,519.303,0.76166,0.59956,1.16584,0.90912,0.8955,0.90751,0.7181,0.83426,0.70709,1.28605,0.007624,0.007624,0.007624
