epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,394.257,0.73423,0.53106,1.13256,0.96516,0.93418,0.96747,0.80348,0.68928,0.36493,1.11522,0.005644,0.005644,0.005644
46,778.739,0.74346,0.54115,1.14119,0.97107,0.92813,0.96839,0.80581,0.68409,0.36144,1.11259,0.005545,0.005545,0.005545
47,1168.29,0.73375,0.54196,1.13642,0.96367,0.93781,0.96922,0.80702,0.68404,0.36081,1.11361,0.005446,0.005446,0.005446
48,1550.7,0.74038,0.53522,1.1392,0.96565,0.93779,0.96927,0.80468,0.68696,0.36098,1.11439,0.005347,0.005347,0.005347
49,1929.58,0.73035,0.53117,1.13391,0.96023,0.93725,0.96774,0.80508,0.68272,0.36036,1.11266,0.005248,0.005248,0.005248
50,2308.8,0.72596,0.52515,1.13161,0.96921,0.93299,0.96921,0.80701,0.68068,0.3595,1.11153,0.005149,0.005149,0.005149
51,2691,0.72988,0.52938,1.13537,0.97237,0.9335,0.96858,0.80617,0.67912,0.35581,1.11006,0.00505,0.00505,0.00505
52,3070.74,0.7271,0.52391,1.13182,0.97192,0.93322,0.96804,0.80817,0.67907,0.35457,1.10871,0.004951,0.004951,0.004951
53,3455.46,0.72266,0.52599,1.12776,0.96953,0.93443,0.96667,0.80689,0.676,0.35458,1.10699,0.004852,0.004852,0.004852
54,3840.15,0.7172,0.5203,1.12777,0.96941,0.93526,0.96636,0.80687,0.67585,0.35369,1.10811,0.004753,0.004753,0.004753
55,4221.47,0.7145,0.51537,1.1252,0.97143,0.93293,0.96693,0.80706,0.67555,0.35457,1.10849,0.004654,0.004654,0.004654
